PC1,PC2,PC3,PC4
-0.16539464718612193,-0.27075385776690936,-0.5446664307637176,0.12634450000052486
-0.12015492250941433,-0.4224985606048835,0.2550977850499464,-0.3286610581856219
-0.40273839253703475,0.09474704427529675,-0.15188210985184844,0.06932059760128804
-0.2537157320568263,-0.30660528981443597,8.679458871483511e-5,-0.16345911519198358
-0.11791479954896823,0.26120836847146567,0.32173410350621273,-0.24313935129332503
0.0916985774657895,-0.4328676360652492,-0.2802410940584968,0.28649271445868174
-0.14674667439369646,-0.16600704853444856,0.030199591886199886,-0.607490522824834
-0.20425373869090102,-0.008767047754776802,-0.09468214816036202,-0.008945871078800858
-0.20632332168161527,-0.5018185020767457,0.20399213399936728,0.028081865917972647
-0.34311230488856787,0.14990964696024503,-0.15216355321445607,0.021818400365548066
0.49354389653222447,-0.12186660245006857,-0.14838117565390252,-0.22529270362168916
-0.45617255584032285,0.23510560766283856,-0.20108480451516883,-0.09413241379151156
-0.18465229254997884,-0.13245104160712964,0.5441067709477316,0.5227741554675926
