PC1,PC2,PC3,PC4
0.24496743156500506,0.2887516843121654,-0.18690629282568108,0.503782212059243
-0.12843532694393558,0.3533605472171166,0.31218393517713705,-0.06362852118092882
0.21278384866192812,0.381032264987963,0.02991011569498827,-0.22820256058838664
0.007018293670061126,0.40876766712426,0.031523954249394394,-0.26560183044288704
-0.002191012402944077,-0.32002694508327884,0.25624993020339276,-0.08040392937641068
-0.15504064276186524,0.2922772125858792,-0.08734298717525345,0.6215607086837684
0.01365154874687512,0.22166729856328596,-0.09851711716063302,-0.41389863595553333
0.06672906464222081,0.07747190544793962,-0.6636970169106743,-0.18143685664714418
-0.1793290629911135,0.4854858626623627,0.22391249409145653,-0.05785229229882105
0.2674052051718569,0.010039350951685845,0.12458167344000462,0.10854785610350592
-0.1470497626606855,0.019712850647678717,-0.5156803599196967,-0.08152126904341789
0.6105958925810248,0.008414089307640336,0.09888917000015424,-0.004730032000360011
-0.5927665087971788,-0.015620149639796263,0.029393484342060686,0.02650693454105147
