PC1,PC2,PC3,PC4
0.0026382337705099426,-0.10568715813085566,-0.5730748100585805,0.3334257542032209
-0.2645882453671517,-0.44455846628029033,0.143390562947972,0.15868627652843295
-0.26033291953023713,0.38579032159190224,-0.20590437819805302,-0.2129240943169818
-0.24688308474069579,0.13451212962416512,-0.3086128845519809,-0.2465045779072251
-0.2036682616264365,0.06149452448705369,0.45201138711135047,0.3841673059376422
0.0420530828112271,-0.37931868229468024,-0.4134436433156793,0.1734863358911306
-0.2765617536711372,-0.020203350436084754,0.002892676943177551,2.170327167112339e-4
-0.17280679147097378,0.30514009011394166,-0.22315180195066633,-0.2320932141628615
-0.24922620906894832,-0.4402807345097327,-0.1827623255994713,-0.19238805644554235
-0.3226787668917626,0.03862457378238494,-0.09879288538998574,0.44136552772417775
0.49147834508789673,0.03307779953148865,-0.11239894111657459,0.09955694842857923
-0.4373195401505044,0.23841457408713265,-0.0012218075743768524,0.24541982951945704
-0.2294104759953739,-0.3602954167515659,0.1803710948319735,-0.47332467537807366
