"ID","PC1","PC2","PC3","PC4","CHI"
1,-0.58514965619561,-1.38386862264948,-0.181432732034287,-0.646604165438512,0.3
2,0.0345114429638726,0.464241428898899,-1.1079017403816,-0.129285232136836,0.26
3,0.530255020451825,-0.846474052386818,-0.0818853890197929,0.0874595929699674,0.19
4,0.453457508792972,0.0090318152139552,0.154055878180619,-1.12280784996966,0.28
5,-0.83625284801634,-0.795899189369951,0.0875277631675496,0.86383811159713,0.31
6,1.01737364596483,-0.151085107032127,-0.674211652332035,1.20444942565903,0.31
7,-1.19023641986262,0.19631527677651,-0.707286074774101,-1.16289290490313,0.37
8,-0.418945819876199,-0.607274480319667,1.35137403905307,-0.263714036892901,0.31
10,-0.942981809496814,1.72559295321142,-0.137810161999008,-0.56513036634425,0.47
11,0.47317944717503,0.546709418176228,0.569344287097032,0.40677212375165,0.26
12,1.57729484552159,0.297613500375802,-0.409024083934061,-0.0560333493204462,0.26
