"ID","PC1","PC2","PC3","PC4","CHI"
1,0.479356566125685,-0.769831870278982,0.0648364577170574,-0.0477526967396512,0.19
2,0.654229352768143,-0.189175464148367,0.0748037440712187,1.33035789597758,0.3
4,-0.800416692307157,-1.05316389916801,0.202509052637117,0.635189404057489,0.3
5,0.976360444041054,0.79302570520424,0.573865054521989,-0.178790872028565,0.33
6,-0.583278863894633,-1.41967073200178,-0.143315650011372,-0.87407754701761,0.31
8,0.027822263844669,0.568196225245313,-0.973508304987348,0.393014071099796,0.28
9,0.24293831421917,0.10840941301448,-0.410187574974978,-1.10272279719589,0.26
10,-1.36924061957886,1.74594110020568,-0.742949516075726,0.112945827647026,0.51
11,-0.372908158267929,-0.283276318770164,1.26614009206678,-0.968508446315722,0.36
12,1.46938187532973,-0.0187021290166981,-0.774087959028072,0.19782514389149,0.24
13,-1.18036301308074,0.255267278929378,-0.914718615073635,-0.762445578946471,0.35
14,-0.435274559402935,0.407564617316189,1.65138897071879,0.716615092440186,0.44
